품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,사업자번호,품목영문명,보험코드,표준코드
200808877,페라트라정2.5밀리그램(레트로졸),19560004,(주)유한양행,어두운황색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300107,YH,LT,원형,노랑,-,-,-,6.1,6.1,3.5,20100429,4210,항악성종양제,전문의약품,20080820,필름코팅정,-,-,-,-,-,-,-,1188100601,-,-,8806421038804|8806421038811|8806421038828
200808948,졸뎀속붕정(졸피뎀타르타르산염),20080422,보령제약(주),흰색의원형구강붕해정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300128,-,-,원형,하양,-,-,-,9,9,4,20100701,1120,최면진정제,전문의약품,20080825,정제,-,-,-,-,-,-,-,1348502031,-,-,8806419054205|8806419054212|8806419054229
200809076,가스프렌정(모사프리드시트르산염이수화물),19760002,경동제약(주),분할선을가진흰색의장방형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1kUg,KD,분할선,장방형,하양,-,-,-,9.1,4.5,3.4,20100914,2390,기타의소화기관용약,전문의약품,20080828,필름코팅정,-,-,-,-,-,-,20211223,1248135518,GasprenTab,648102540,8806481025400|8806481025417|8806481025424|8806481025431|8806481025448
200809361,바르탄정(발사르탄),19870002,(주)휴온스,엷은적색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300155,V분할선T,HS8,원형,분홍,-,-,-,6.5,6.5,1.8,20120724,2140,혈압강하제,전문의약품,20080908,필름코팅정,-,-,-,-,-,-,-,8638700270,-,-,8806706056509|8806706056516|8806706056523
200809402,리피논정80밀리그램(아토르바스타틴칼슘삼수화물),19540001,동아에스티(주),이약은흰색의타원형필름코팅정이다.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300161,LPT,80,타원형,하양,-,-,-,19.55,10.5,7.06,20160824,2180,동맥경화용제,전문의약품,20080910,필름코팅정,-,-,-,-,-,-,20260303,2048640122,Lipinontablet80mg(Atorvastatincalciumtrihydrate),642506260,8806425062607|8806425062614|8806425062621|8806425062638
200809710,사르발탄정160밀리그램(발사르탄),19680007,(주)서울제약,회색빛을띠는오렌지색의타원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153432591328100009,SPC,V분할선16,타원형,주황,-,-,-,14.19,6.13,5.2,20110701,2140,혈압강하제,전문의약품,20080919,필름코팅정,-,-,-,-,-,-,20260212,1338130405,SarvaltanTab.160mg,652902340,8806529023405|8806529023412|8806529023429
200809882,가스베트정5밀리그램(모사프리드시트르산염수화물),19540006,일동제약(주),흰색의장방형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pc8bb3CK5P,ID·5,분할선,장방형,하양,-,-,-,9,4.6,3.2,20101223,2390,기타의소화기관용약,전문의약품,20080926,필름코팅정,-,-,-,-,-,-,-,6828500435,GasbetTab.5mg(Mosapridecitratehydrate),-,8806429039001|8806429039018|8806429039025|8806429039032|8806429039049
200809883,아푸르탄정150밀리그램(이르베사르탄),19540001,동아에스티(주),흰색또는거의흰색의양쪽이볼록한타원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300198,AT,150,타원형,하양,-,-,-,12.4,6.4,4.95,20110627,2140,혈압강하제,전문의약품,20080926,필름코팅정,-,-,-,-,-,-,-,2048640122,-,-,8806425063703|8806425063710|8806425063727|8806425063734
200809909,발사르텔정80밀리그램(발사르탄),20020017,주식회사제뉴원사이언스,분홍색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1my-,V분할선8,KK,원형,분홍,-,-,-,8.2,8.2,3.6,20120213,2140,혈압강하제,전문의약품,20080929,필름코팅정,-,-,-,-,-,-,20260212,6218542600,ValsartelTab.80mg,671702870,8806717028700|8806717028717|8806717028724|8806717028731
200809910,발사르텔정160밀리그램(발사르탄),20020017,주식회사제뉴원사이언스,회색빛을띠는오렌지색의타원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXa2J_Kd2y,V분할선16,KK,타원형,주황,-,-,-,14,5.5,4,20120213,2140,혈압강하제,전문의약품,20080929,필름코팅정,-,-,-,-,-,-,20260212,6218542600,ValsartelTab.160mg,671702810,8806717028106|8806717028113|8806717028120|8806717028137
200809959,동광모니플루메이트정350mg,19560001,동광제약(주),크림색의장방형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs6zx,DPC,MNF,타원형,하양,-,-,-,14.5,5.5,3,20121213,1140,해열.진통.소염제,전문의약품,20080929,나정,-,-,-,-,-,-,-,2018644250,DongkwangMorniflumateTab.350mg,-,8806459040503|8806459040510|8806459040527
